release,feature,Mean LOC,Normalized Mean LOC
2019-03,Scout,7.34087846116148,15.96323168167803
2019-03,Subversive,12.480669456066945,100.0
2019-03,WebTools,8.381897885507994,51.02271346766535
2019-03,Window Builder,13.058472783227543,8.604570482043497
2019-06,BIRT,13.179608850385817,99.929788200758
2019-06,CDT,10.009164838001807,62.07649259435023
2019-06,CVS,9.681779865125241,34.93483794834458
2019-06,DataTools,9.937922469617671,63.64186803203435
2019-06,EclipseLink,9.131114651560749,98.66196925021218
2019-06,EGit,12.579223387636688,79.60652705028289
2019-06,EMF,12.649402539908833,83.95099424263755
2019-06,GEF,7.759822960888808,14.863712226762788
2019-06,GMF Runtime,9.098172874209416,5.520283625150083
2019-06,JDT,19.74650721069293,84.13367064339783
2019-06,m2e,8.706102719033233,83.24238672250067
2019-06,Mylyn,8.685264105642258,43.18231055081257
2019-06,PDE,10.12700678884648,99.1115753245326
2019-06,PTP,8.528919631093544,23.68623820819886
2019-06,RAP,8.773096790583454,69.11697820874552
2019-06,Scout,7.340037333654483,15.887002051743554
2019-06,Subversive,12.480669456066945,100.0
2019-06,WebTools,7.7570426040215015,0.0056583154810931355
2019-06,Window Builder,13.058252960734206,8.573414484028257
2019-09,BIRT,13.180116449910214,99.94524146620229
2019-09,CDT,9.996406619385343,57.252629823250444
2019-09,CVS,9.629342002287641,29.64925696802707
2019-09,DataTools,9.937922469617671,63.64186803203435
2019-09,EclipseLink,9.120553093243904,96.84475385402159
2019-09,EGit,12.564920022062879,76.77310645766532
2019-09,EMF,12.658061770203002,86.4013574202356
2019-09,GEF,7.759822960888808,14.863712226762788
2019-09,GMF Runtime,9.098172874209416,5.520283625150083
2019-09,JDT,19.72390515804658,80.71234148649744
2019-09,m2e,8.647930443301494,80.07482017813203
2019-09,Mylyn,8.6856654060868,43.20235104245691
2019-09,PDE,10.10376619987823,98.88412298524413
2019-09,PTP,8.372339001204981,0.412930320430506
2019-09,RAP,8.773626838818922,69.31507924121458
2019-09,Scout,7.261287760684766,8.75009265923521
2019-09,Subversive,12.480669456066945,100.0
2019-09,WebTools,7.7570426040215015,0.0056583154810931355
2019-09,Window Builder,13.058252960734206,8.573414484028257
2019-12,BIRT,13.180266852404065,99.94982029173157
2019-12,CDT,9.999674071532722,58.488048438020776
2019-12,CVS,9.634180110763303,30.13692394673037
2019-12,DataTools,9.937922469617671,63.64186803203435
2019-12,EclipseLink,9.138891214439997,100.0
2019-12,EGit,12.466104375329468,57.19825277148498
2019-12,EMF,12.658394862969336,86.49561501838492
2019-12,GEF,7.759822960888808,14.863712226762788
2019-12,GMF Runtime,9.097821503865074,3.548753759029325
2019-12,JDT,19.73233045143563,81.98769918866836
2019-12,m2e,8.64025064504239,79.65664379209514
2019-12,Mylyn,8.683403821350371,43.089410051162815
2019-12,PDE,10.119066260693055,99.03386250468324
2019-12,PTP,8.372339001204981,0.412930320430506
2019-12,RAP,8.773610846711932,69.30910232686219
2019-12,Scout,7.2996622211868845,12.22788990005741
2019-12,Subversive,12.480669456066945,100.0
2019-12,WebTools,7.7570426040215015,0.0056583154810931355
2019-12,Window Builder,13.057976589547728,8.534243696695809
2020-03,BIRT,13.180233317372569,99.94879935747437
2020-03,CDT,10.107157315617377,99.12729716416642
2020-03,CVS,9.654010727415175,32.1357912638008
2020-03,DataTools,9.937922469617671,63.64186803203435
2020-03,EclipseLink,9.13099068232148,98.64063917717799
2020-03,EGit,12.475955997904663,59.14980676982257
2020-03,EMF,12.658946277933994,86.65165278145079
2020-03,GEF,7.759822960888808,14.863712226762788
2020-03,GMF Runtime,9.106312758935468,51.192965177833884
2020-03,JDT,19.725660060324763,80.977985427152
2020-03,m2e,8.591851851851851,77.02125784286503
2020-03,Mylyn,8.688056613391707,43.32176523864233
2020-03,PDE,10.128935272180625,99.13044911668258
2020-03,PTP,8.369786777524475,0.03358143444659626
2020-03,RAP,8.774123270865942,69.50061650836264
2020-03,Scout,7.315168555610308,13.633196616227956
