release,feature,Total LOC,Normalized LOC
Oxygen.1a_respin,Mylyn,283995,89.66644179119676
Oxygen.1a_respin,PDE,351467,92.62367013917256
Oxygen.1a_respin,PTP,129392,5.429934222264515
Oxygen.1a_respin,RAP,413749,66.10464880638754
Oxygen.1a_respin,Scout,206459,14.758319940602064
Oxygen.1a_respin,Subversive,67581,58.88223552894212
Oxygen.1a_respin,WebTools,272901,83.45676338459174
Oxygen.1a_respin,Window Builder,473931,79.98098697465876
Oxygen.2,BIRT,1209470,99.3506601732684
Oxygen.2,CDT,1130635,89.31232630671958
Oxygen.2,CVS,161738,97.80846436413208
Oxygen.2,DataTools,28318,5.031448775807541
Oxygen.2,EclipseLink,1304094,17.57996222290163
Oxygen.2,EGit,109050,64.78686831189373
Oxygen.2,EMF,664507,79.66132074001341
Oxygen.2,GEF,85909,82.6849948928734
Oxygen.2,GMF Runtime,129499,86.28649015614393
Oxygen.2,JDT,1344048,55.69959379466846
Oxygen.2,m2e,70124,90.53654134540098
Oxygen.2,Mylyn,284346,89.77813701280517
Oxygen.2,PDE,351737,92.69482444651173
Oxygen.2,PTP,129392,5.429934222264515
Oxygen.2,RAP,413734,66.08945000607952
Oxygen.2,Scout,209550,17.66336782549036
Oxygen.2,Subversive,67581,58.88223552894212
Oxygen.2,WebTools,273275,83.58741292941431
Oxygen.2,Window Builder,473943,79.99801356451658
Oxygen.2_respin,BIRT,1209478,99.353326866602
Oxygen.2_respin,CDT,1130852,89.37816288637273
Oxygen.2_respin,CVS,161710,97.77932713820411
Oxygen.2_respin,DataTools,28318,5.031448775807541
Oxygen.2_respin,EclipseLink,1303840,17.562232394769282
Oxygen.2_respin,EGit,109050,64.78686831189373
Oxygen.2_respin,EMF,664633,79.75951122956313
Oxygen.2_respin,GEF,85909,82.6849948928734
Oxygen.2_respin,GMF Runtime,129499,86.28649015614393
Oxygen.2_respin,JDT,1353131,57.53337263484322
Oxygen.2_respin,m2e,70124,90.53654134540098
Oxygen.2_respin,Mylyn,284434,89.80614037320842
Oxygen.2_respin,PDE,351314,92.58334936501369
Oxygen.2_respin,PTP,129392,5.429934222264515
Oxygen.2_respin,RAP,413734,66.08945000607952
Oxygen.2_respin,Scout,211061,19.083467260646046
Oxygen.2_respin,Subversive,67581,58.88223552894212
